,alpha_rolling_63d
2021-01-01,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,0.00019573634163742642
2021-03-31,0.00023643528430365696
2021-04-01,0.0002488426024776668
2021-04-02,0.0002037167329115273
2021-04-05,0.0001940359358683528
2021-04-06,8.724272458357726e-05
2021-04-07,7.064414874969607e-05
2021-04-08,8.829277569694398e-05
2021-04-09,4.391078958696713e-05
2021-04-12,0.00010144942725654187
2021-04-13,1.5007012493053196e-05
2021-04-14,1.292229240945053e-05
2021-04-15,-5.0410000833337075e-05
2021-04-16,-5.096697494816334e-05
2021-04-19,-4.109000741142826e-05
2021-04-20,-0.00016886326245874977
2021-04-21,-0.00017481276039597404
2021-04-22,-0.000206513197013403
2021-04-23,1.0122487645306645e-05
2021-04-26,0.00010884868549013404
2021-04-27,9.922488241698041e-05
2021-04-28,0.00015151502005342118
2021-04-29,0.00022751140476596636
2021-04-30,2.911499417731089e-05
2021-05-03,-1.5041957003872884e-05
2021-05-04,-5.7136626606978364e-05
2021-05-05,-3.1638571288794934e-05
2021-05-06,-0.0001324649190260629
2021-05-07,-0.00010596300162535132
2021-05-10,-0.0001061712293922867
2021-05-11,-8.16588058677131e-05
2021-05-12,-0.00019143384118292152
2021-05-13,-0.00023113030600644142
2021-05-14,-0.00026338026711092356
2021-05-17,-0.0002039216560443936
2021-05-18,-0.00012399948782140026
2021-05-19,-0.00017296850078767873
2021-05-20,-0.00012521768096073567
2021-05-21,-0.00012732566363866254
2021-05-24,-9.016824024985e-05
2021-05-25,-8.842995953890888e-05
2021-05-26,-0.00012754952875119246
2021-05-27,3.3934428165741256e-06
2021-05-28,9.573650824080588e-05
2021-05-31,0.00016520284647292456
2021-06-01,0.0003262902023910562
2021-06-02,0.0002877460051968972
2021-06-03,0.00030852490296417415
2021-06-04,0.00020130104151442474
2021-06-07,0.0002080567541608468
2021-06-08,9.964098030409487e-05
2021-06-09,-7.659687818593956e-05
2021-06-10,-8.911094104260757e-05
2021-06-11,-6.184639663302908e-05
2021-06-14,-0.00012207051824387203
2021-06-15,-7.873459197404838e-05
2021-06-16,-4.956250602627458e-05
2021-06-17,-0.00013644164225165445
2021-06-18,-0.00016369196916541946
2021-06-21,-6.083957441972457e-05
2021-06-22,-0.00011462280260700133
2021-06-23,-0.0002528724249948517
2021-06-24,-0.0002590050071836185
2021-06-25,-0.00022927440711067185
2021-06-28,-0.00027648623497010744
2021-06-29,-0.0002711896315039659
2021-06-30,-0.0003176095795650327
