,corr_rolling_63d
2021-01-01,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,0.37301508747689965
2021-03-31,0.37765576516804206
2021-04-01,0.3827227350215346
2021-04-02,0.3828601931899731
2021-04-05,0.3796392044262119
2021-04-06,0.3672328644202273
2021-04-07,0.35954849630469576
2021-04-08,0.3636958978945702
2021-04-09,0.37060490150512737
2021-04-12,0.383472140982261
2021-04-13,0.375677087077929
2021-04-14,0.3725930798239051
2021-04-15,0.35946510491420225
2021-04-16,0.3598832391631215
2021-04-19,0.34616993760863723
2021-04-20,0.3730231354895899
2021-04-21,0.39552780880155997
2021-04-22,0.3899167127348585
2021-04-23,0.36847280382635084
2021-04-26,0.3377371128265986
2021-04-27,0.3350844159029031
2021-04-28,0.3172165485068667
2021-04-29,0.31599355419464936
2021-04-30,0.24972921508120338
2021-05-03,0.24945044200720665
2021-05-04,0.2569956996653846
2021-05-05,0.2649467745791817
2021-05-06,0.28054439021483557
2021-05-07,0.2933273761415317
2021-05-10,0.2931571404983532
2021-05-11,0.25727006233200694
2021-05-12,0.2755059863199479
2021-05-13,0.27414239420889075
2021-05-14,0.281708128233208
2021-05-17,0.27530883623605384
2021-05-18,0.2660019881175491
2021-05-19,0.26928892943256943
2021-05-20,0.30158743738937066
2021-05-21,0.28998911706327024
2021-05-24,0.2956847683542348
2021-05-25,0.2754777920973437
2021-05-26,0.28554380030536025
2021-05-27,0.30295995107965074
2021-05-28,0.29219103187354845
2021-05-31,0.2788806505942521
2021-06-01,0.25853882931470246
2021-06-02,0.2506341591869759
2021-06-03,0.28558156053768463
2021-06-04,0.264894147175746
2021-06-07,0.26519276480879994
2021-06-08,0.2250793411356657
2021-06-09,0.2467183336358698
2021-06-10,0.24733780699097047
2021-06-11,0.2575340099134254
2021-06-14,0.2798007955980314
2021-06-15,0.2841326673785632
2021-06-16,0.2812964143121868
2021-06-17,0.2537476521802981
2021-06-18,0.317415709072627
2021-06-21,0.3296869046631002
2021-06-22,0.34017774204897155
2021-06-23,0.3259668271700227
2021-06-24,0.3272201310884331
2021-06-25,0.3178259922947371
2021-06-28,0.3080642960843069
2021-06-29,0.30251646478309874
2021-06-30,0.29567019107361076
2021-07-01,0.2980073214341134
2021-07-02,0.2929569842568146
2021-07-05,0.29641641021848775
2021-07-06,0.28773498742534737
2021-07-07,0.2717743595152692
2021-07-08,0.31376999385634413
2021-07-09,0.34202902355053133
2021-07-12,0.33958711999184
2021-07-13,0.35810829467496674
