,beta_rolling_63j
2021-01-01,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,0.02603510080937412
2021-03-31,0.026643836857934314
2021-04-01,0.04081979674869398
2021-04-02,0.040284903812179494
2021-04-05,0.05238799039903194
2021-04-06,0.05373595782449156
2021-04-07,0.047939393146095015
2021-04-08,0.04895246598075463
2021-04-09,0.05191688474732309
2021-04-12,0.05310245234840671
2021-04-13,0.04992125788967671
2021-04-14,0.043627239991123605
2021-04-15,0.04520866736905612
2021-04-16,0.04767003654656504
2021-04-19,0.043983507056892815
2021-04-20,0.04866077580180836
2021-04-21,0.0441485885019283
2021-04-22,0.03964572231027112
2021-04-23,0.03918631185006691
2021-04-26,0.010777520997495859
2021-04-27,0.011138951882505844
2021-04-28,0.03399223696074948
2021-04-29,0.034886831725090224
2021-04-30,0.017443333557006096
2021-05-03,0.018228871270193358
2021-05-04,0.014009448980629958
2021-05-05,0.01532085370320219
2021-05-06,0.017053062127553024
2021-05-07,0.01989238742150661
2021-05-10,0.019754810894356215
2021-05-11,0.006257048487290575
2021-05-12,0.016089885205827825
2021-05-13,0.016700956665962195
2021-05-14,0.012172956657940166
2021-05-17,0.0036525552259643176
2021-05-18,-0.00152427080880232
2021-05-19,-0.007563266877167567
2021-05-20,-0.021945064775023927
2021-05-21,-0.038585470643273695
2021-05-24,-0.031628695847715965
2021-05-25,-0.03442649735052623
2021-05-26,-0.02420051636581563
2021-05-27,-0.011866061613923638
2021-05-28,-0.01122123608477865
2021-05-31,-0.02168373442572527
2021-06-01,-0.04560848823235318
2021-06-02,-0.06429252717301957
2021-06-03,0.022218064178062397
2021-06-04,0.013549178446235278
2021-06-07,0.012810147512760287
2021-06-08,-0.014064525591621743
2021-06-09,-0.01789712448192507
2021-06-10,-0.024785600854364327
2021-06-11,-0.022332391453882765
2021-06-14,-0.012237735551944086
2021-06-15,-0.011626373935308501
2021-06-16,-0.016132015897035255
2021-06-17,-0.024384937307801294
2021-06-18,-0.022738416737792123
2021-06-21,-0.024757781552817847
2021-06-22,-0.023812364378337808
2021-06-23,-0.031223718220264422
2021-06-24,-0.029347679880940232
2021-06-25,-0.032067140355096724
2021-06-28,-0.033948580618535465
2021-06-29,-0.03489744724791318
2021-06-30,-0.035647003439698635
2021-07-01,-0.03498918315699689
2021-07-02,-0.046502197093992274
2021-07-05,-0.04440479329917846
2021-07-06,-0.04769542012272016
2021-07-07,-0.04626302568269263
2021-07-08,-0.036982012611547724
2021-07-09,-0.04212457414584921
