quarter,strat,n_switches
2021Q1,STRAT1,1
2021Q1,STRAT2,2
2021Q1,STRAT3,1
2021Q2,STRAT1,0
2021Q2,STRAT2,0
2021Q2,STRAT3,0
2021Q3,STRAT1,0
2021Q3,STRAT2,1
2021Q3,STRAT3,0
2021Q4,STRAT1,0
2021Q4,STRAT2,0
2021Q4,STRAT3,0
2022Q1,STRAT1,0
2022Q1,STRAT2,0
2022Q1,STRAT3,0
2022Q2,STRAT1,0
2022Q2,STRAT2,1
2022Q2,STRAT3,1
2022Q3,STRAT1,0
2022Q3,STRAT2,1
2022Q3,STRAT3,0
2022Q4,STRAT1,0
2022Q4,STRAT2,1
2022Q4,STRAT3,0
2023Q1,STRAT1,1
2023Q1,STRAT2,2
2023Q1,STRAT3,0
2023Q2,STRAT1,0
2023Q2,STRAT2,0
2023Q2,STRAT3,0
2023Q3,STRAT1,0
2023Q3,STRAT2,1
2023Q3,STRAT3,0
2023Q4,STRAT1,0
2023Q4,STRAT2,0
2023Q4,STRAT3,0
2024Q1,STRAT1,1
2024Q1,STRAT2,1
2024Q1,STRAT3,0
2024Q2,STRAT1,0
2024Q2,STRAT2,0
2024Q2,STRAT3,0
2024Q3,STRAT1,0
2024Q3,STRAT2,0
2024Q3,STRAT3,0
2024Q4,STRAT1,0
2024Q4,STRAT2,0
2024Q4,STRAT3,0
2025Q1,STRAT1,0
2025Q1,STRAT2,0
2025Q1,STRAT3,0
2025Q2,STRAT1,0
2025Q2,STRAT2,0
2025Q2,STRAT3,0
2025Q3,STRAT1,0
2025Q3,STRAT2,0
2025Q3,STRAT3,0
2025Q4,STRAT1,0
2025Q4,STRAT2,0
2025Q4,STRAT3,0
