,beta_rolling_63j
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,-0.007799789480915846
2021-04-01,-0.011122891266816256
2021-04-06,-0.012715353080003801
2021-04-07,-0.0022092226099128093
2021-04-08,-0.006869151255421229
2021-04-09,-0.006829018582268248
2021-04-12,-0.008894143618242732
2021-04-13,-0.009175702480649129
2021-04-14,-0.008341259061717218
2021-04-15,-0.007490168057682961
2021-04-16,-0.006894897899898681
2021-04-19,-0.007928935354762936
2021-04-20,-0.008501174475909716
2021-04-21,-0.009279380026628615
2021-04-22,-0.004012770527899028
2021-04-23,-0.003829378808679997
2021-04-26,-0.005197776915496533
2021-04-27,-0.005284567746457082
2021-04-28,-0.005402602564459489
2021-04-29,-0.00387686315031774
2021-04-30,-0.011776130247898274
2021-05-03,0.006195834269391877
2021-05-04,-0.009648829542388795
2021-05-05,-0.015484884855799201
2021-05-06,-0.016112182784744564
2021-05-07,-0.017883089337551474
2021-05-10,-0.012591899155037644
2021-05-11,-0.008019633244445563
2021-05-12,-0.008233464263383073
2021-05-13,-0.010942540538338286
2021-05-14,-0.012122454215492608
2021-05-17,-0.012975805549738763
2021-05-18,-0.012533312898791697
2021-05-19,-0.012148300681427832
2021-05-20,-0.055772469455562156
2021-05-21,-0.047165015563623486
2021-05-24,-0.04154850189185892
2021-05-25,-0.04790576089941401
2021-05-26,-0.04293248017331084
2021-05-27,-0.04044447820487745
2021-05-28,-0.04731729357392865
2021-05-31,-0.029265524051125955
2021-06-01,-0.027828417786635473
2021-06-02,-0.02505895128065891
2021-06-03,-0.03214966819376732
2021-06-04,-0.025929472507857147
2021-06-07,0.01821028173585486
2021-06-08,0.01887141809284539
2021-06-09,0.01608396923188945
2021-06-10,-0.008701257994348652
2021-06-11,-0.010536634609938336
2021-06-14,-0.01043817220467943
2021-06-15,-0.013100701740102439
2021-06-16,-0.005383355105974072
2021-06-17,-0.008985991147444578
2021-06-18,-0.0002787837882977806
2021-06-21,0.003177919715550403
2021-06-22,-0.0006972549053174641
2021-06-23,-0.003290411746197786
2021-06-24,-0.02971160994551671
2021-06-25,-0.041013688066532696
2021-06-28,-0.040527124492241995
2021-06-29,-0.03513616589635187
2021-06-30,-0.040059085011068224
2021-07-01,-0.03395305091698935
2021-07-02,-0.009140665172282628
2021-07-05,-0.07184038607645525
2021-07-06,-0.049733316258419154
2021-07-07,-0.05393104561368285
2021-07-08,-0.06916477863031316
2021-07-09,-0.09286671115340304
2021-07-12,-0.07620610445492673
2021-07-13,-0.11202178430732404
2021-07-14,-0.11162642257362088
2021-07-15,-0.06394218470397905
2021-07-16,-0.07724285393008322
2021-07-19,-0.0788879486058924
2021-07-20,-0.16852925250551634
2021-07-21,-0.13486344251652727
2021-07-22,-0.1260450410834384
2021-07-23,-0.13166877451773282
2021-07-26,-0.13622878685489048
2021-07-27,-0.10861448611292128
2021-07-28,-0.11463582055552234
2021-07-29,-0.11415017686050957
2021-07-30,-0.09708497614223609
2021-08-02,-0.07626407489768705
2021-08-03,-0.08175268579578168
2021-08-04,-0.08540042666368278
2021-08-05,-0.08431847065137228
2021-08-06,-0.10133880471376143
2021-08-09,-0.10411354590001701
2021-08-10,-0.12466597101702027
2021-08-11,-0.10702564811370968
2021-08-12,-0.0941709906267373
2021-08-13,-0.09089426826236967
2021-08-16,-0.10813099586776605
2021-08-17,-0.09068157624110317
2021-08-18,-0.08723682633932893
2021-08-19,-0.09301418618988663
2021-08-20,-0.12597603864880388
2021-08-23,-0.12536354173497202
2021-08-24,-0.1315904543830998
2021-08-25,-0.12161174348103727
