,valeur
vol_portfolio_ann,0.05390560156806933
ret_ann_portfolio,0.03541548136896866
sharpe_portfolio,0.6569907456509457
max_drawdown,-0.12115125181620756
alpha_portfolio_ann,0.011172137867240917
beta_portfolio,0.7524249478577347
vol_core_ann,0.07082152456332755
ret_ann_core,0.03139499989461281
sharpe_core,0.44329743094615065
vol_satellite_ann,0.03234102277685801
ret_ann_satellite,0.04592402143123597
alpha_satellite_ann,0.0455778879644968
beta_satellite_static,0.02555865974611892
beta_sat_rolling_mean,0.07745612141687243
beta_sat_rolling_std,0.17588226893345957
corr_core_satellite,0.055969264222241404
w_core,0.75
w_sat,0.25
fees_core_contrib_bps,18.75
fees_sat_wavg_bps,154.0
fees_sat_contrib_bps,38.5
fees_total_bps,57.25
fees_ok,1.0
