,DWMAEIA ID Equity
2019-01-03,
2019-01-04,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-30,
2019-05-03,
2019-05-10,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-29,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-02,
2019-07-03,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-13,
2019-08-14,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-30,
2019-10-31,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-26,
2019-11-27,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-24,
2019-12-31,
2020-01-03,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-19,
2020-03-20,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-06,
2020-05-07,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-19,
2020-05-20,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-03,
2020-06-04,
2020-06-05,0.09624110473573372
2020-06-09,0.09793784983986199
2020-06-10,0.09915481631756713
2020-06-11,0.09244877438997293
2020-06-12,0.09337606719881822
2020-06-16,0.08987863265288479
2020-06-17,0.08991022514027029
2020-06-18,0.08930476153596675
2020-06-19,0.08887881185265026
2020-06-23,0.08792212215527577
2020-06-24,0.08775043605793931
2020-06-25,0.0877411601907124
2020-06-26,0.08590262514573951
2020-06-30,0.08713001370195461
2020-07-01,0.0867875355263957
2020-07-02,0.08412162542422244
2020-07-07,0.08344329819690746
2020-07-08,0.08380679082731397
2020-07-09,0.08430754323092839
2020-07-10,0.0838604111548794
2020-07-16,0.08637352158927278
2020-07-17,0.08664059723931361
2020-07-21,0.086834193857851
2020-07-22,0.08620816201004367
2020-07-23,0.08609235171740624
2020-07-24,0.08758221974616681
2020-07-28,0.08716131052968694
2020-07-29,0.08726878006045653
2020-07-30,0.08601963781743513
2020-07-31,0.08580973796568848
2020-08-05,0.08613952788550726
2020-08-06,0.08617222065690291
2020-08-07,0.08530801211134535
2020-08-11,0.08379657617219118
2020-08-12,0.08461777871046075
2020-08-13,0.08380242114917283
2020-08-14,0.08337052814903542
2020-08-18,0.08313380031963818
2020-08-19,0.08187978288626237
2020-08-20,0.0814677744824116
2020-08-21,0.08113933443267446
2020-08-25,0.08075727538372694
2020-08-26,0.077035378617583
2020-08-27,0.07779125698946647
2020-08-28,0.0765497047018338
2020-09-02,0.0773244752261053
