,PDAIEUR LX Equity,EXCRISA LX Equity,REYLSEB LX Equity
2021-01-05,,,
2021-01-06,,,
2021-01-07,,,
2021-01-08,,,
2021-01-12,,,
2021-01-13,,,
2021-01-14,,,
2021-01-15,,,
2021-01-19,,,
2021-01-20,,,
2021-01-21,,,
2021-01-22,,,
2021-01-26,,,
2021-01-27,,,
2021-01-28,,,
2021-01-29,,,
2021-02-02,,,
2021-02-03,,,
2021-02-04,,,
2021-02-05,,,
2021-02-09,,,
2021-02-10,,,
2021-02-11,,,
2021-02-12,,,
2021-02-16,,,
2021-02-17,,,
2021-02-18,,,
2021-02-19,,,
2021-02-23,,,
2021-02-24,,,
2021-02-25,,,
2021-02-26,,,
2021-03-02,,,
2021-03-03,,,
2021-03-04,,,
2021-03-05,,,
2021-03-09,,,
2021-03-10,,,
2021-03-11,,,
2021-03-12,,,
2021-03-16,,,
2021-03-17,,,
2021-03-18,,,
2021-03-19,,,
2021-03-23,,,
2021-03-24,,,
2021-03-25,,,
2021-03-26,,,
2021-03-30,,,
2021-03-31,,,
2021-04-01,,,
2021-04-07,,,
2021-04-08,,,
2021-04-09,,,
2021-04-13,,,
2021-04-14,,,
2021-04-15,,,
2021-04-16,,,
2021-04-20,,,
2021-04-21,,,
2021-04-22,,,
2021-04-23,,,
2021-04-27,,,
2021-04-28,,,
2021-04-29,,,
2021-04-30,,,
2021-05-04,,,
2021-05-05,,,
2021-05-06,,,
2021-05-07,,,
2021-05-11,,,
2021-05-12,,,
2021-05-13,,,
2021-05-14,,,
2021-05-18,,,
2021-05-19,,,
2021-05-20,,,
2021-05-21,,,
2021-05-25,,,
2021-05-26,,,
2021-05-27,,,
2021-05-28,,,
2021-06-01,,,
2021-06-02,,,
2021-06-03,,,
2021-06-04,,,
2021-06-08,,,
2021-06-09,,,
2021-06-10,,,
2021-06-11,,,
2021-06-15,,,
2021-06-16,,,
2021-06-17,,,
2021-06-18,,,
2021-06-22,,,
2021-06-23,,,
2021-06-24,,,
2021-06-25,,,
2021-06-29,,,
2021-06-30,,,
2021-07-01,,,
2021-07-02,,,
2021-07-06,,,
2021-07-07,,,
2021-07-08,,,
2021-07-09,,,
2021-07-13,,,
2021-07-14,,,
2021-07-15,,,
2021-07-16,,,
2021-07-20,,,
2021-07-21,,,
2021-07-22,,,
2021-07-23,,,
2021-07-27,,,
2021-07-28,,,
2021-07-29,,,
2021-07-30,,,
2021-08-03,,,
2021-08-04,,,
2021-08-05,,,
2021-08-06,,,
2021-08-10,,,
2021-08-11,,,
2021-08-12,,,
2021-08-13,,,
2021-08-17,,,
2021-08-18,,,
2021-08-19,,,
2021-08-20,,,
2021-08-24,,,
2021-08-25,,,
2021-08-26,,,
2021-08-27,,,
2021-08-31,,,
2021-09-01,,,
2021-09-02,,,
2021-09-03,,,
2021-09-07,,,
2021-09-08,,,
2021-09-09,,,
2021-09-10,,,
2021-09-14,,,
2021-09-15,,,
2021-09-16,,,
2021-09-17,,,
2021-09-21,,,
2021-09-22,,,
2021-09-23,,,
2021-09-24,,,
2021-09-28,,,
2021-09-29,,,
2021-09-30,,,
2021-10-01,,,
2021-10-05,,,
2021-10-06,,,
2021-10-07,,,
2021-10-08,,,
2021-10-12,,,
2021-10-13,,,
2021-10-14,,,
2021-10-15,,,
2021-10-19,,,
2021-10-20,,,
2021-10-21,,,
2021-10-22,,,
2021-10-26,,,
2021-10-27,,,
2021-10-28,,,
2021-10-29,,,
2021-11-02,,,
2021-11-03,,,
2021-11-04,,,
2021-11-05,,,
2021-11-09,,,
2021-11-10,,,
2021-11-11,,,
2021-11-12,,,
2021-11-16,,,
2021-11-17,,,
2021-11-18,,,
2021-11-19,,,
2021-11-23,,,
2021-11-24,,,
2021-11-25,,,
2021-11-26,,,
2021-11-30,,,
2021-12-01,,,
2021-12-02,,,
2021-12-03,,,
2021-12-07,,,
2021-12-08,,,
2021-12-09,,,
2021-12-10,,,
2021-12-14,,,
2021-12-15,,,
2021-12-16,,,
2021-12-17,,,
2021-12-21,,,
2021-12-22,,,
2021-12-23,,,
2021-12-24,,,
2021-12-28,,,
2021-12-29,,,
2021-12-30,,,
2021-12-31,,,
2022-01-04,,,
2022-01-05,,,
2022-01-06,,,
2022-01-07,,,
2022-01-11,,,
2022-01-12,,,
2022-01-13,,,
2022-01-14,,,
2022-01-18,,,
2022-01-19,,,
2022-01-20,,,
2022-01-21,,,
2022-01-25,,,
2022-01-26,,,
2022-01-27,,,
2022-01-28,,,
2022-02-01,,,
2022-02-02,,,
2022-02-03,,,
2022-02-04,,,
2022-02-08,,,
2022-02-09,,,
2022-02-10,,,
2022-02-11,,,
2022-02-15,,,
2022-02-16,,,
2022-02-17,,,
2022-02-18,,,
2022-02-22,,,
2022-02-23,,,
2022-02-24,,,
2022-02-25,,,
2022-03-01,,,
2022-03-02,,,
2022-03-03,,,
2022-03-04,,,
2022-03-08,,,
2022-03-09,,,
2022-03-10,,,
2022-03-11,,,
2022-03-15,,,
2022-03-16,,,
2022-03-17,,,
2022-03-18,,,
2022-03-22,,,
2022-03-23,,0.21569261127542733,
2022-03-24,,0.21651597271403591,
2022-03-25,,0.2145438207159269,
2022-03-29,,0.22102163779778514,
2022-03-30,,0.22560202043845434,
2022-03-31,,0.22664189939810955,
2022-04-01,,0.22655216041831644,0.019668111462749254
2022-04-05,,0.22721372922288144,0.020418845663452433
2022-04-06,,0.22736941127005872,0.02973821668019875
2022-04-07,,0.22970759021098117,0.02853461205044458
2022-04-08,-0.016101171668209707,0.22584803164115966,0.030693076012249906
2022-04-12,-0.01572354718591403,0.22451353709795457,0.03003459272289895
2022-04-13,-0.015901637524984632,0.2244216858849622,0.029580709665971917
2022-04-14,-0.01603030433893043,0.22308265503917404,0.0263916199143656
2022-04-20,-0.01525374167401302,0.22090355816793264,0.025021898429640053
2022-04-21,-0.015459672350581237,0.22033314888269626,0.02561443648467226
2022-04-22,-0.022645323685936428,0.22178178615162802,0.0375856253017458
2022-04-26,-0.025149573381459765,0.22104869261101368,0.03777010536615675
2022-04-27,-0.025269935435040615,0.2202439638260604,0.03939933355230354
2022-04-28,-0.02517113838704538,0.22021085281841588,0.04030150031182824
2022-04-29,-0.025414071942671316,0.22025481679106373,0.03923122542451612
2022-05-03,-0.026061653492339795,0.22025685397462716,0.036592308368081396
2022-05-04,-0.022854699821221736,0.21999981251293751,0.044686429627243694
2022-05-05,-0.022729458718545176,0.2221838655745185,0.04599921296653918
2022-05-06,-0.030292104584402815,0.20945712951301473,0.044704014188440444
2022-05-10,,0.20543814523894507,
2022-05-11,-0.026858898936735685,0.20470349565569448,0.048895873865155294
2022-05-12,-0.025250920741597262,0.20332301673320574,0.04850103690612696
2022-05-13,-0.030024280654122992,0.20487163446744394,0.04312603712294965
2022-05-17,-0.0314505029374582,0.20822191923145297,0.04343500766516778
2022-05-18,-0.034291451221347725,0.2051953528253058,0.04324176587542065
2022-05-19,-0.03373540388903886,0.20479976828044838,0.04925532920444066
2022-05-20,-0.03323154272166298,0.2059863323547785,0.04943563394322192
2022-05-24,-0.0335131384218145,0.20681270821953895,0.04471429342812903
2022-05-25,-0.034634757413956045,0.2066409344848573,0.04398642526723503
2022-05-26,,0.20675564081067632,
2022-05-27,,0.20597999544623613,
2022-05-31,-0.03560295982414438,0.207653709509962,0.041894235605675165
