quarter,ter_wavg_bps,n_fonds_actifs
2021Q1,126.1,6
2021Q1,134.0,5
2021Q2,123.6,7
2021Q2,119.6,6
2021Q2,119.6,6
2021Q3,115.2,8
2021Q3,113.0,8
2021Q3,108.6,6
2021Q4,109.9,6
2021Q4,110.0,6
2021Q4,110.0,6
2022Q1,88.1,12
2022Q1,78.2,8
2022Q1,75.5,6
2022Q2,70.3,8
2022Q2,69.5,7
2022Q2,69.6,6
2022Q3,59.1,6
2022Q3,54.2,6
2022Q3,53.5,6
2022Q4,55.0,7
2022Q4,55.7,7
2022Q4,57.9,6
2023Q1,81.3,12
2023Q1,96.2,7
2023Q1,96.1,6
2023Q2,97.8,7
2023Q2,97.3,7
2023Q2,74.0,5
2023Q3,80.8,6
2023Q3,83.6,6
2023Q3,93.0,5
2023Q4,91.9,7
2023Q4,85.5,6
2023Q4,95.6,5
2024Q1,104.8,13
2024Q1,115.5,8
2024Q1,120.7,6
2024Q2,113.1,9
2024Q2,109.1,7
2024Q2,110.7,6
2024Q3,108.4,8
2024Q3,109.1,7
2024Q3,104.2,6
2024Q4,102.8,7
2024Q4,102.1,6
2024Q4,102.4,6
2025Q1,103.2,11
2025Q1,99.5,8
2025Q1,93.1,6
2025Q2,92.6,6
2025Q2,92.6,6
2025Q2,92.6,6
2025Q3,88.0,8
2025Q3,86.8,7
2025Q3,86.5,6
2025Q4,91.6,6
2025Q4,93.5,6
2025Q4,93.5,6
